figure,driver,app,variant,warps,threads,tile_rows,tile_cols,matrix_rows,matrix_cols,num_ctas,status,returncode,instrs,cycles,ipc,dxa_transfers,dxa_gmem_reads,dxa_gmem_dedup,dxa_gmem_dedup_rate,dxa_lmem_writes,dxa_avg_gmem_lat,summary_status,attempts,configs,env_overrides,command,output_tail
3b,simx,dxa_copy,dxa,8,8,32,16,512,512,,PASS,0,34880,310419,0.112,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 32,"mode: DXA\ntiles: 16 32\ntotal_elems: 262144, groups: 512\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=34880, cycles=310419, IPC=0.112"
3b,simx,dxa_copy,dxa,8,8,32,32,512,512,,PASS,0,17472,212346,0.082,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 32,"mode: DXA\ntiles: 32 32\ntotal_elems: 262144, groups: 256\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=17472, cycles=212346, IPC=0.082"
3b,simx,dxa_copy,dxa,8,8,32,64,512,512,,PASS,0,8768,165105,0.053,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 32,"mode: DXA\ntiles: 64 32\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=8768, cycles=165105, IPC=0.053"
3b,simx,dxa_copy,dxa,8,8,32,128,512,512,,PASS,0,4416,147656,0.030,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 128 -t1 32,"mode: DXA\ntiles: 128 32\ntotal_elems: 262144, groups: 64\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=4416, cycles=147656, IPC=0.030"
3b,simx,dxa_copy,dxa,8,8,64,16,512,512,,PASS,0,17472,204188,0.086,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 64,"mode: DXA\ntiles: 16 64\ntotal_elems: 262144, groups: 256\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=17472, cycles=204188, IPC=0.086"
3b,simx,dxa_copy,dxa,8,8,64,32,512,512,,PASS,0,8768,164991,0.053,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 64,"mode: DXA\ntiles: 32 64\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=8768, cycles=164991, IPC=0.053"
3b,simx,dxa_copy,dxa,8,8,64,64,512,512,,PASS,0,4416,138629,0.032,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 64,"mode: DXA\ntiles: 64 64\ntotal_elems: 262144, groups: 64\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=4416, cycles=138629, IPC=0.032"
3b,simx,dxa_copy,dxa,8,8,64,128,512,512,,PASS,0,2240,134731,0.017,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 128 -t1 64,"mode: DXA\ntiles: 128 64\ntotal_elems: 262144, groups: 32\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=2240, cycles=134731, IPC=0.017"
3b,simx,dxa_copy,dxa,8,8,128,16,512,512,,PASS,0,8768,158608,0.055,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 128,"mode: DXA\ntiles: 16 128\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=8768, cycles=158608, IPC=0.055"
3b,simx,dxa_copy,dxa,8,8,128,32,512,512,,PASS,0,4416,141657,0.031,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 128,"mode: DXA\ntiles: 32 128\ntotal_elems: 262144, groups: 64\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=4416, cycles=141657, IPC=0.031"
