benchmark,parameters,threads,warps,cores,configuration,status,cycles,dynamic_instructions,issued_instructions,active_lane_instructions,simd_utilization,vx_yield_count,subgroup_switch_count,watchdog_switch_count,peak_live_split_contexts,normalized_time,normalized_instructions,wall_seconds,notes
atm,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
atm,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
atm,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,1438754,264789,264789,396507,0.3743612838901918,48601,40766,0,4,1.1877130344693796,0.8253506639236955,16.457,
atm,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,863239,105128,105128,259056,0.6160490069248915,0,0,0,0,1.0,1.0,8.185,
atm,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
atm,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
atm,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,851186,58486,58486,89592,0.3829634442430667,7631,5703,0,4,0.9860374705035337,0.5563313294269843,11.235,
atm,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,891376,132104,132104,286032,0.5413007933143584,0,0,0,0,1.0,1.0,8.235,
atm,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
atm,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
atm,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,1143264,171040,171040,256317,0.3746448199251637,29921,15951,0,4,1.2825833318375186,1.2947374795615576,13.797,
atomicreduce,"{""args"":""-n1024""}",4,8,1,IPDOM_SW,PASS,75576,44952,44952,44952,0.25,0,0,0,0,1.0,1.0,2.421,
atomicreduce,"{""args"":""-n1024""}",4,8,1,IPDOM_native,PASS,75576,44952,44952,44952,0.25,0,0,0,0,1.0,1.0,2.02,
atomicreduce,"{""args"":""-n1024""}",4,8,1,ITS,,,,,,,,,,,,,,
atomicreduce,"{""args"":""-n1024""}",4,8,1,SCS,PASS,75576,44952,44952,44952,0.25,0,0,0,1,1.0,1.0,2.371,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":128,""stride"":1}",4,8,1,IPDOM_SW,PASS,81969,38697,38697,114971,0.7427642969739257,0,0,0,0,1.0,1.0,2.471,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":128,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":128,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":128,""stride"":1}",4,8,1,SCS,PASS,29176,5586,5586,19212,0.859828141783029,87,8,0,2,0.35593944052019666,0.14435227537018375,1.669,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,157429,79436,79436,229950,0.7236958054282693,0,0,0,0,1.0,1.0,2.772,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":256,""stride"":1}",4,8,1,SCS,PASS,50519,9969,9969,33832,0.8484301334135821,122,8,0,2,0.32090021533516694,0.12549725565234907,2.07,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":512,""stride"":1}",4,8,1,IPDOM_SW,PASS,317396,166416,166416,465410,0.6991665464859148,0,0,0,0,1.0,1.0,3.923,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":512,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":512,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":512,""stride"":1}",4,8,1,SCS,PASS,96101,18705,18705,62952,0.8413793103448276,186,8,0,2,0.30277949312530716,0.11239904816844534,2.221,
cp_ds,"{""local"":32,""percent"":100,""resources"":16,""rounds"":2,""size"":512,""stride"":1}",4,8,1,IPDOM_SW,PASS,983205,202462,202462,505254,0.6238874455453369,0,0,0,0,1.0,1.0,13.5,
cp_ds,"{""local"":32,""percent"":100,""resources"":16,""rounds"":2,""size"":512,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
cp_ds,"{""local"":32,""percent"":100,""resources"":16,""rounds"":2,""size"":512,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
cp_ds,"{""local"":32,""percent"":100,""resources"":16,""rounds"":2,""size"":512,""stride"":1}",4,8,1,SCS,PASS,1076375,161058,161058,276326,0.4289231208632915,20967,10535,0,4,1.0947615197237606,0.7954974266775987,9.389,
cp_ds,"{""local"":32,""percent"":100,""resources"":256,""rounds"":2,""size"":512,""stride"":1}",4,8,1,IPDOM_SW,PASS,963590,192618,192618,495410,0.642995462521675,0,0,0,0,1.0,1.0,10.084,
cp_ds,"{""local"":32,""percent"":100,""resources"":256,""rounds"":2,""size"":512,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
cp_ds,"{""local"":32,""percent"":100,""resources"":256,""rounds"":2,""size"":512,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
cp_ds,"{""local"":32,""percent"":100,""resources"":256,""rounds"":2,""size"":512,""stride"":1}",4,8,1,SCS,PASS,708980,72593,72593,180747,0.6224670422768035,6271,2093,0,3,0.7357693624881951,0.3768754737355803,6.579,
cp_ds,"{""local"":32,""percent"":100,""resources"":64,""rounds"":2,""size"":512,""stride"":1}",4,8,1,IPDOM_SW,PASS,964292,192703,192703,495495,0.6428221148606924,0,0,0,0,1.0,1.0,9.99,
cp_ds,"{""local"":32,""percent"":100,""resources"":64,""rounds"":2,""size"":512,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
cp_ds,"{""local"":32,""percent"":100,""resources"":64,""rounds"":2,""size"":512,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
cp_ds,"{""local"":32,""percent"":100,""resources"":64,""rounds"":2,""size"":512,""stride"":1}",4,8,1,SCS,PASS,647037,61808,61808,137226,0.5550495081542842,3943,2151,0,3,0.6709969594272275,0.32074228216478207,8.236,
histogram,"{""args"":""-n1024""}",4,8,1,IPDOM_SW,PASS,82583,53144,53144,53144,0.25,0,0,0,0,1.0,1.0,2.622,
histogram,"{""args"":""-n1024""}",4,8,1,IPDOM_native,PASS,82583,53144,53144,53144,0.25,0,0,0,0,1.0,1.0,2.522,
histogram,"{""args"":""-n1024""}",4,8,1,ITS,,,,,,,,,,,,,,
histogram,"{""args"":""-n1024""}",4,8,1,SCS,PASS,82583,53144,53144,53144,0.25,0,0,0,1,1.0,1.0,2.622,
lclist,"{""local"":32,""percent"":0,""resources"":128,""rounds"":1,""size"":128,""stride"":1}",4,8,1,IPDOM_SW,PASS,3686653,920143,920143,998487,0.2712858218776864,0,0,0,0,1.0,1.0,28.422,
lclist,"{""local"":32,""percent"":0,""resources"":128,""rounds"":1,""size"":128,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
lclist,"{""local"":32,""percent"":0,""resources"":128,""rounds"":1,""size"":128,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
lclist,"{""local"":32,""percent"":0,""resources"":128,""rounds"":1,""size"":128,""stride"":1}",4,8,1,SCS,PASS,3530329,280959,280959,310597,0.2763721752995989,26786,21861,0,4,0.9575973111654392,0.30534275650632564,27.736,
lclist,"{""local"":32,""percent"":0,""resources"":32,""rounds"":1,""size"":128,""stride"":1}",4,8,1,IPDOM_SW,PASS,1064014,276907,276907,355251,0.3207313285687975,0,0,0,0,1.0,1.0,13.899,
lclist,"{""local"":32,""percent"":0,""resources"":32,""rounds"":1,""size"":128,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
lclist,"{""local"":32,""percent"":0,""resources"":32,""rounds"":1,""size"":128,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
lclist,"{""local"":32,""percent"":0,""resources"":32,""rounds"":1,""size"":128,""stride"":1}",4,8,1,SCS,PASS,1004442,106927,106927,156115,0.3650036941090651,12871,8472,0,4,0.9440120148795035,0.38614769579678376,10.137,
lclist,"{""local"":32,""percent"":0,""resources"":8,""rounds"":1,""size"":128,""stride"":1}",4,8,1,IPDOM_SW,PASS,490760,167402,167402,245746,0.3669997968960944,0,0,0,0,1.0,1.0,6.582,
