file,run,status,sparsity_mode,shape,dtype,a_sparsity,b_sparsity,a_label,b_label,total_cycles,body_cycles,tcu_utilization
run_s_47.stat,47,PASS,2,64x64x512,fp8,90.1306,79.9988,90,80,36815,16550,23.09
run_s_53.stat,53,PASS,2,64x64x512,fp8,99.0051,79.9988,99,80,35661,15394,13.34
run_s_60.stat,60,PASS,1,64x64x512,fp8,0.0976562,90.1123,0,90,60371,39839,79.54
run_s_6.stat,6,PASS,2,64x64x512,fp8,20.4224,90.1123,20,90,55353,35086,73.25
run_s_12.stat,12,PASS,2,64x64x512,fp8,30.4535,90.1123,30,90,52010,31745,70.95
run_s_18.stat,18,PASS,2,64x64x512,fp8,40.2161,90.1123,40,90,48590,28325,68.7
run_s_24.stat,24,PASS,2,64x64x512,fp8,50.1648,90.1123,50,90,45168,24901,65.49
run_s_30.stat,30,PASS,2,64x64x512,fp8,59.9976,90.1123,60,90,41934,21667,61.02
run_s_36.stat,36,PASS,2,64x64x512,fp8,70.0745,90.1123,70,90,38859,18592,53.87
run_s_42.stat,42,PASS,2,64x64x512,fp8,80.0323,90.1123,80,90,37152,16885,40.69
run_s_48.stat,48,PASS,2,64x64x512,fp8,90.1306,90.1123,90,90,35637,15370,24.42
run_s_54.stat,54,PASS,2,64x64x512,fp8,99.0051,90.1123,99,90,34509,14242,14.42
run_s_61.stat,61,PASS,1,64x64x512,fp8,0.0976562,99.0112,0,99,41642,21110,48.5
run_s_7.stat,7,PASS,2,64x64x512,fp8,20.4224,99.0112,20,99,43583,23318,36.86
run_s_13.stat,13,PASS,2,64x64x512,fp8,30.4535,99.0112,30,99,42393,22126,34.99
run_s_19.stat,19,PASS,2,64x64x512,fp8,40.2161,99.0112,40,99,41174,20909,32.96
run_s_25.stat,25,PASS,2,64x64x512,fp8,50.1648,99.0112,50,99,39959,19694,30.43
run_s_31.stat,31,PASS,2,64x64x512,fp8,59.9976,99.0112,60,99,38754,18487,27.77
run_s_37.stat,37,PASS,2,64x64x512,fp8,70.0745,99.0112,70,99,37158,16891,25.1
run_s_43.stat,43,PASS,2,64x64x512,fp8,80.0323,99.0112,80,99,35847,15580,21.69
run_s_49.stat,49,PASS,2,64x64x512,fp8,90.1306,99.0112,90,99,34380,14113,17.79
run_s_55.stat,55,PASS,2,64x64x512,fp8,99.0051,99.0112,99,99,33354,13087,15.66
